,Unnamed: 0,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star,label
367,367,548736,990,2154,the founder,2016,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",the babadook,2014,Jennifer Kent,"Essie Davis, Barbara West, Daniel Henshall, Hayley McElhinney, Tim Purcell, Noah Wiseman, Tiffany Lyndall-Knight, Cathy Adamek, Peta Shannon, Benjamin Winspear, Michael Gilmour, Adam Morgan, John Maurice Sullivan, Craig Behenna, Terence Crawford, Carmel Johnson, Lise Hachi, Michelle Nightingale, Pippa Wanganeen, Pippa Wanganeeh, Chloe Hurn, Lotte Crawford, Stephen Sheehan, Lucy Hong, Chris Roberts, Tony Mack, Sophie Riggs, Craig McArdle, Sophie Allan, Bridget Walters, Isla Zorkovic, Ethan Grabis, Jacqy Phillips, Annie Batten, India Zorkovic, Charlie Crabtree",0
297,297,441015,983,1767,the party,2017,Sally Potter,"Timothy Spall, Kristin Scott Thomas, Patricia Clarkson, Bruno Ganz",the brothers grimsby,2016,Louis Leterrier,"Sacha Baron Cohen, Mark Strong (II), Isla Fisher, Penelope Cruz, Rebel Wilson, Annabelle Wallis, Ian McShane, Gabourey Sidibe, Scott Adkins, David Harewood, Sam Hazeldine, Freddie Crowder, Jon-Jon Lockwood, Shaun Thomas, Claudia Adshead, Lex Shrapnel, David James, Rory Keenan, Tamsin Egerton, Johnny Vegas, Ricky Tomlinson, Margaret Jackman, John Thomson, Lewis Johnson, Gabriel Chay Palmer, Steve Scott, Jorge de Juan, Matt Baldwin, Yusuf Hofri, Rebecca Front, Bob Cryer, Peter Baynham, Kyle Rowe, Miles Evans, Amaan Hendricks, Zak Sutcliffe, Mika Behrman, Laura ThÂ­‚Â©rÂ­\se, Janie Booth, Paul Thornley, Jason Furnival, Joanna Bobin, Nathan Joel Jukes, Jamie Chambers, Ryan Pickard, Callum Joseph King-Chadwick, Jamie Ben Chambers, John Bradley, Callum Joseph King, Nick Boraine, Feyi Babalola, Barkhad Abdi, Clifford 'Zorro' Sidloy, Nhlanhla Mkhwanazi, Craig Macrae, Hennie Bosman, Robert Wilfort, Clive Tyldesley, Andy Townsend, Clayton Evertson, Affif Ben Badra, Stefano Pasianot, Jordi Castello, Michelene Deppe, Mihhail Sibul, Raheem Sterling, Patrick John Walton, Patrick Walton, Nick Sampson, Danny Green, Jamie Glassman, Alex Lowe, Miles Jupp, Mark Theodore, Alex Lanipekun, Sam Redford, Anthony Hines",0
461,461,694344,2070,2660,the frozen ground,2013,Scott Walker,"Nicolas Cage, Vanessa Hudgens, John Cusack, Dean Norris",the counselor,2013,Ridley Scott,"Michael Fassbender, Penelope Cruz, Cameron Diaz, Javier Bardem, Brad Pitt, Dean Norris, John Leguizamo, Natalie Dormer, Goran Visnjic, CÂ©sar Aguirre, Daniel Holguin, Christopher Obi, Bruno Ganz, Paris Jefferson, Dar Dash, Richard Cabral, Rosie Perez, Alex Hafner, Andrea Deck, Sam Spruell, Toby Kebbell, Emma Rigby, Edgar Ramirez, Eben Young, Richard Brake, Barbara Durkin, Giannina Facio, Velibor Topic, Jose Juan Rodriguez, Alexander Biggie, Pablo Paredes, Cavassa Ventura, Frank Spano, Alejandro Marzal, Gerard Monaco, Fernando Cayo, Carlos Julio Molina, Ruben Blades, Donna Air, Marco Tulio Luna Ramirez, Lida Cardona, Roger Dalmases, Julien Vialon",0
136,136,194018,402,740,the hobbit: the battle of the five armies,2014,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Cate Blanchett",the legend of tarzan,2016,David Yates,"Alexander SkarsgÃ¥rd, Margot Robbie, Samuel L. Jackson, Christoph Waltz, Djimon Hounsou, Rory J. Saper, Christian Stevens, Casper Crump, Sidney Ralitsoele, Osy Ikhile, Mens-Sana Tamakloe, Antony Acheampong, Edward Apeagyei, Ashley Byam, Adam Ganne, Aleksandar Mikic, Gary Cargill, Shaun Smith, Ian Mercer, Laurence Spellman, Alex Ferns, Roger Evans, Clive Brunt, Charles Babalola, Yule Masiteng, Mimi Ndiweni, Faith Edwards, Matt Cross, Madeleine Worrall, William Wollen, Cedric Weber, Richard James-Neale, Charlie Anson, Simon Russell Beale, John Hollingworth, Maxim De Villiers, Miles Jupp, Teresa Churcher, Jim Broadbent, Christopher Benjamin, Paul Hamilton, Ben Chaplin, Faisal Mohammed, Genevieve O'Reilly, Hadley Fraser, Augusts Dakteris, Caitlin McIntosh, Sophia Ramos, Thomas Coghlan, Amelia Mae Butler, Jack Hammond, Oliver Lamb, Matilda Hedley, Luke Smith, John Harvey Wilson, Adam Scholes, Owen Walters, Orla McFarlane",0
190,190,301376,6,1167,jumanji: welcome to the jungle,2017,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black",jumanji: welcome to the jungle,2017,Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Bobby Cannavale, Ser'Darius Blain, Madison Iseman, Morgan Turner, Alex Wolff, Missi Pyle",1
354,354,526144,2224,2076,the current war,2017,Alfonso Gomez-Rejon,"Tom Holland, Katherine Waterston, Benedict Cumberbatch, Michael Shannon",the squeeze,2015,Terry Jastrow,"Jeremy Sumpter, Christopher McDonald, Jillian Murray, Katherine LaNasa, Jason Dohring, Michael Nouri, Mekia Cox, Michael Beasley, David O'Donnell, Rochelle Aycoth, Tim Ware, Sainty Nelsen, J. Teddy Garces, Elliott Grey, Michael Harding",0
181,181,272439,2932,1068,serena,2014,Susanne Bier,"Bradley Cooper, Jennifer Lawrence, Rhys Ifans, Toby Jones",serena,2015,Susanne Bier,"Jennifer Lawrence, Bradley Cooper, Rhys Ifans, Toby Jones, David Dencik, Ana Ularu, Sean Harris, Sam Reid, Blake Ritson, Charity Wakefield, Ned Dennehy, Christian McKay, Michael Ryan, Mark O'Neal, Jim High",1
126,126,180646,2066,679,the walk,2015,Robert Zemeckis,"Joseph Gordon-Levitt, Charlotte Le Bon, Guillaume Baillargeon, milie Leclerc",the hallow,2015,Corin Hardy,"Joseph Mawle, Bojana Novakovic, Charlotte Williams, Michael McElhatton, Michael Smiley, Stephen Cromwell, Wren Hardy, James Rodgers, Joseph Rodgers, Gary Lydon, Stuart Graham, Conor Craig Stephens, Sean Tyrrell, Joss Wyre, Sean Tyrell, Billie Traynor, Alan Archbold, Luc Walsh, Gerard Flatherty, James Meryk, Padraig Mac Cathmhaoil, Seamus Mac Cathmhaoil, Ryan Thorntan, Padraig Feeney, Fiachra McInerney",0
309,309,451549,1165,1810,brad's status,2017,Mike White,"Ben Stiller, Austin Abrams, Jenna Fischer, Michael Sheen",brad's status,2017,Mike White,"Ben Stiller, Austin Abrams, Michael Sheen, Luke Wilson, Jenna Fischer, Jemaine Clement",1
34,34,43485,2499,172,the hollars,2016,John Krasinski,"Sharlto Copley, Charlie Day, Richard Jenkins, Anna Kendrick",the lego movie,2014,"Phil Lord, Christopher Miller, Chris McKay","Chris Pratt, Elizabeth Banks, Will Arnett, Morgan Freeman, Will Ferrell, Charlie Day, Liam Neeson, Nick Offerman, Alison Brie, Jonah Hill, Channing Tatum, Craig Berry, Amanda Farinos, Keith Ferguson, Orville Forte, Dave Franco, Todd Hansen, Jake Johnson (XVI), Keegan-Michael Key, Kelly Lafferty, Chris McKay, Christopher Miller, Graham Miller, Doug Nicholas, Shaquille O'Neal, Chris Paluszek, Chris Romano, Jadon Sand, Cobie Smulders, Melissa Sturm, Jorma Taccone, Billy Dee Williams, Leiki Veskimets, David Burrows, Anthony Daniels",0
415,415,636912,2230,2469,the clapper,2017,Dito Montiel,"Amanda Seyfried, Leah Remini, Ed Helms, Alan Thicke",the wedding ringer,2015,Jeremy Garelick,"Kevin Hart, Josh Gad, Kaley Cuoco, Affion Crockett, Jorge Garcia, Dan Gill, Corey Holcomb, Ken Howard, Colin Kane, Cloris Leachman, Jenifer Lewis, Alan Ritchson, Mimi Rogers, Aaron Takahashi, Olivia Thirlby, Whitney Cummings, Ignacio Serricchio, Nicky Whelan, Patrick Carlyle, Glozell Green, Tristin Mays, Robert Towers, Neal Israel, Justine Ezarik, Tyler Michael Brown, Peter Gilroy, Josh Peck, Hal Jeffrin, Rawson Marshall Thurber, Amy Okuda, Jeffrey Ross, Joe Namath, John Riggins, Ed Jones, David Burr, Anthony L. Fernandez, Lisa Donovan, Jessica Grace Namath, Olivia Rose Namath, Tracey Graves, Steve Greene, Steve Terada, Ashley Jones, Lindsay Pearce, Jackie Wade, Nikki Leigh",0
380,380,578573,1496,2275,the boy,2016,William Brent Bell,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",the best offer,2014,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks, Donald Sutherland, Philip Jackson, Dermot Crowley, Maximilian Dirr, Liya Kebede, Kiruna Stamell, Caterina Capodilista, Gen Seto, Klaus Tauber, Laurence Belgrave, Sean Buchanan, John Benfield, Miles Richardson, James Patrick Conway, Brigitte Christensen, Jacqueline Hopkins, Amanda Walker, Ann Rita Davies, Sylvia DeFanti, Anita Eberwein-Newrkla, Ami Veevers Chorlton, Victoria Chapman, Wolfram Kremer, Gerry Shanahan, Katherine Wilson, David Kevin Fells, Jay Natelle, Luke Charles, Alison Adam, Melanie Gerren, Marcus J. Cotterel, Adrian McCourt, Vernon Dobtcheff, Patricia Meglio, Julian Curry, Stefano Scherini, Katie McGovern, Merlin Ramml, Andrew Phillips, Elizabeth Kaye, Gerhard Haller, Jun Ichikawa, Lynn Swanson, Helen Hutchison, Margherita Pettarin, Diana Pegan, Hannah Britland, Shelagh Gallivan, Tara Elise Schlener, Anton Alexander, Karel Mika, Simone Spinazze, Elizabeth Kalton, Diana Hobel, Rajeev Luigi Badhan",0
361,361,538009,2229,2116,the iceman,2012,Ariel Vromen,"Michael Shannon, Chris Evans, James Franco, Winona Ryder",the identical,2014,Dustin Marcellino,"Ray Liotta, Ashley Judd, Seth Green, Joe Pantoliano, Blake Rayne, Erin Cottrell, Brian Geraghty, Amanda Crew, Waylon Payne, Danny Woodburn, Chris Mulkey, Noah Urrea, Gary Beaty, Caylin Cervetti, Ken Dodge, Johanna Goldstein, Joanne Goldstein, Michael Johnson, Brad Jones, Howard Klausner, Yochanan Marcellino, Joe McDougall, William McKinney, Leslie Mills, Ian Mitchell, Brad Naylor, John Newberg, Chris Finley, Cole Schaefer, Chris Scruggs, Lisa Stewart Seals, Kevin Shelley, Kevin Shell, Jacqueline Steele, J. Karen Thomas, Jeremy Walker, Michael Joiner, Wade Cummins, James Carslake, Raquel Payne, Katie Freeman, Nathan Clark George, Shelly Justice, Hunter Mobley",0
255,255,391530,522,1539,brawl in cell block 99,2017,S. Craig Zahler,"Vince Vaughn, Jennifer Carpenter, Don Johnson, Udo Kier",brawl in cell block 99,2017,S. Craig Zahler,"Vince Vaughn, Don Johnson, Jennifer Carpenter, Marc Blucas, Rob Morgan, Geno Segers, Fred Melamed, Dan Amboyer, Mustafa Shakir",1
232,232,370428,636,1453,home again,2017,Hallie Meyers-Shyer,"Reese Witherspoon, Michael Sheen, Candice Bergen, Pico Alexander",daddy's home,2015,"John Morris, Sean Anders","Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church, Hannibal Buress, Owen Vaccaro, Scarlett Estevez, Alessandra Ambrosio, Paul Scheer, Sue-Lynn Ansari, JoAnna Wortham, Cedric Yarbrough, Aurora Blue, Kerry Cahill, Jamie Denbo, LaMonica Garrett, Grayson Kilpatrick, Ingrid Norvell, Justin Lebrun, Billy Slaughter, Nikki Fuega, John L. Armijo, Jeff Caperton, Tracy Brotherton, Stacie Davis, Madison Probus, Patrick Kearns, Christopher Heskey, Serenity Neil, Nazeema Bartek, Kevin Kent, Elton LeBlanc, Lyle R. Guidroz, Cooper Dodson, Andrea Vittoria Alvarado, Olivia Renee Dupepe, Mike R. Moreau, Jesse Yarborough, Tony Beard, Scott Gulino, Lajessie Smith, Laura Shaw, Cynthia LeBlanc, Abigail Williams, Saber Bankson, Didi Costine, Joseph Poliquin, Michael D. Anglin, Lisa Raziano, Daryl Thibodaux, Douglas Lacey, Candice Harrison, Joshua Probus, Tracy Mann, David Michael Cefalu, Tahseen Ghauri, Monet Jeanne Roberson, Raykim Goslar, Christina Michelle Williams, Gene Kevin Hames Jr., Eric Berris, Joseph Uzzell, Gerard 'Jerry' Lewis, Savannah Williams, Alfonzo Walker, Brady Yarborough, Charles Barber, Devin Posey, Lukas Bennett, Salma Salinas, Laney Kate Hulbert, Abigail C. Addison, Jasmine Cheramie, Nathaniel Woolsey, John Garcia, Sadarias Harrell, Michelle Tabora, Troy Compas, Rockmeyer Estes, James Harlon Palmer, Ella Maddox, Sarah-Alexia Jones, Joel K. Berger, Samantha Hopkins, Morgyn Crowley, Billy 4 Johnston, Hailey Chambliss, Jamara Laster, Brooke Hartzog, Lori Guidroz, Doug Gagnon, Marlene B. Russell, Jimi Harper, Makiah Alexander, Chris Angerdina, Joseph Stephens, Jr., Zora Ngwaba, Annabella Bennett, Charles Pitre",0
133,133,190378,483,732,the imitation game,2014,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech",the duel,2016,Kieran Darcy-Smith,"Woody Harrelson, Liam Hemsworth, Alice Braga, Emory Cohen, William Sadler, Felicity Price, Christopher Baker, Christopher Berry, Benedict Samuel, Giles Matthey, Raphael Sbarge, Jason Carter, David Born, Lawrence Turner, Kim Hidalgo, John McConnell, JosÃ© ZÃºÃ±iga, Josh Whites, Kerry Cahill, Hector Machado, Gloria Sandoval, Kelly Bellini, Marlin Stark Richardson, Jeremy Sande, Matthew Frias, Caleb Thaggard",0
33,33,42224,1865,163,the promise,2016,Terry George,"Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Gimnez Cacho",the promise,2017,Terry George,"Oscar Isaac, Christian Bale, Charlotte Le Bon, Daniel GimÃ©nez Cacho, Shohreh Aghdashloo, Abel Folk, Andrew Tarbet, Angela Sarafyan, Armin Amiri, Marwan Kenzari, Igal Naor, Garen Boyajian, Kevork Malikyan, Numan Acar, Roman Mitichyan, Jean Reno, Tom Hollander, James Cromwell, Alicia Borrachero",1
485,485,729025,307,2813,benji,2018,Brandon Camp,"Gabriel Bateman, Darby Camp, Kiele Sanchez, Gralen Bryant Banks",benji,2018,Brandon Camp,"Kiele Sanchez, Gabriel Bateman, Darby Camp, Jerod Haynes, Angus Sampson, Will Rothhaar, Gralen Bryant Banks\",1
44,44,55662,1514,212,song to song,2017,Terrence Malick,"Ryan Gosling, Rooney Mara, Michael Fassbender, Natalie Portman",song to song,2017,Terrence Malick,"Ryan Gosling, Rooney Mara, Michael Fassbender, Natalie Portman, Cate Blanchett, Holly Hunter, BÃ©rÃ©nice Marlohe, Val Kilmer, Lykke Li, Olivia Grace Applegate, Dana Falconberry, Linda Emond, Louanne Stephens, Christin Sawyer Davis, Tom Sturridge",1
61,61,86634,2445,342,the secret scripture,2016,Jim Sheridan,"Rooney Mara, Eric Bana, Aidan Turner, Theo James",the discovery,2017,Charlie McDowell,"Robert Redford, Rooney Mara, Jason Segel, Jesse Plemons, Riley Keough",0
199,199,312150,2594,1249,wilson,2017,Craig Johnson,"Woody Harrelson, Sandy Oian-Thomas, Shaun Brown, James Robert Miller",wilson,2017,Craig Johnson,"Woody Harrelson, Laura Dern, Cheryl Hines, David Warshofsky, Isabella Amara, Judy Greer",1
303,303,442250,1053,1773,independence day: resurgence,2016,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe",independence day: resurgence,2016,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe, William Fichtner, Travis Tope, Charlotte Gainsbourg, Judd Hirsch, Jessie T. Usher, Brent Spiner, Vivica A. Fox, Angelababy, Sela Ward, Grace Huang (II), McKenna Grace, Deobia Oparei, Patrick St. Esprit, Garrett Wareing, James A. Woods, Ron Yuan, Nicolas Wright, Hays Wellford, Zeb Sanders, Lance Lim, Cory Kapahulehua, Donovan Tyee Smith, Ava Del Cielo, Nathaniel Augustson, Joey King, Ryan Cartwright, Alice Rietveld, Gbenga Akinnagbe, Joshua Mikel, Grizelda Quintana, Chin Han Ng, Monique Candelaria, Justin Raleigh, Morse Bicknell, Alma Sisneros, John Storey, Catharine Pilafas, Robert Neary, Otis Winston, Travis Hammer, Kenny Leu, Stephen Oyoung, Beth Bailey, Mark Falvo, Brandon Hampton, Omar Diop, Stafford Douglas, Michael Love Toliver, Sam Quinn, Jacob Browne, Humberto Castro, Katrina Kavanaugh, Robert Douglas, Stephen M. Hardin, Jade Kammerman, Auroroa Antonio, Diana Gaitirira, Gabriel Schmidt, Akshay Patel, David Devereaux, Hans Obma, Shawn Lecrone, Mark S. Allen, Marika Day, David Stanford, Nate Warren, Richard Beal, Danny Winn, David Grant Wright, Nathan Brimmer, Gregory Paul Valdez, Jacob Christopher Johnson, Christian Simpson, Jeffrey M. Williams, Jerry Walker, Jetto Dorsainville, Valerie Adams, Jason E. Hill, Alexander Daniel Pimentel, Dave Racki, Vaughn Odenbrett, Faber Dewar, Andrew James Bleidner, Matthew Munroe, Johnny Otto, Edward A. Duran, Jamie H. Jung, Jonathan Lane, Andrei Lapionak, Justin Arnsworth, Raiden Integra, Brian Barela, John D. Grissom, Colt Balok, Patrick Juarez",1
387,387,584244,1994,2297,the case for christ,2017,Jon Gunn,"Erika Christensen, Faye Dunaway, Frankie Faison, Robert Forster",the case for christ,2017,Jon Gunn,"Mike Vogel, Erika Christensen, Robert Forster, Faye Dunaway, Frankie Faison",1
218,218,341939,1847,1348,the right stuff,1983,Philip Kaufman,"Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid",the challenge,1982,John Frankenheimer,"Scott Glenn, Toshiro Mifune, Donna Kei Benz, Atsuo Nakamura, Calvin Jung, Clyde Kusatsu, Sab Shimada, Sab Shimono, Yoshio Inaba, Seiji Miyaguchi, Miiko Taka, Kiyoako Nagai, Kenta Fukasaku, Pamela Bowman, Roy Chapman Andrews",0
73,73,110697,2074,440,the infiltrator,2016,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",the better angels,2014,A.J. Edwards,"Brit Marling, Diane Kruger, Jason Clarke, Wes Bentley",0
35,35,43692,833,172,the lego movie,2014,"Phil Lord, Christopher Miller","Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",the lego movie,2014,"Phil Lord, Christopher Miller, Chris McKay","Chris Pratt, Elizabeth Banks, Will Arnett, Morgan Freeman, Will Ferrell, Charlie Day, Liam Neeson, Nick Offerman, Alison Brie, Jonah Hill, Channing Tatum, Craig Berry, Amanda Farinos, Keith Ferguson, Orville Forte, Dave Franco, Todd Hansen, Jake Johnson (XVI), Keegan-Michael Key, Kelly Lafferty, Chris McKay, Christopher Miller, Graham Miller, Doug Nicholas, Shaquille O'Neal, Chris Paluszek, Chris Romano, Jadon Sand, Cobie Smulders, Melissa Sturm, Jorma Taccone, Billy Dee Williams, Leiki Veskimets, David Burrows, Anthony Daniels",1
293,293,435593,1506,1736,the happytime murders,2018,Brian Henson,"Elizabeth Banks, Melissa McCarthy, Joel McHale, Maya Rudolph",the phenom,2016,Noah Buschel,"Johnny Simmons, Ethan Hawke, Paul Giamatti, Alison Elliott, Yul VÂ­Â§zquez, Paul Adelstein, Louisa Krause, Elizabeth Marvel, Marin Ireland, Sophie Kennedy Clark, John Ventimiglia, Frank Wood, Melissa LeEllen, Ruben Vidal, Emily Fleischer, Meg Gibson, Steven Marcus, Walter Hendrix, III, BreeAnna Marie, Dann Fink, Niesha Butler, Jacob Roberson, Billy James, Chameria Law, Joseph Geoffroy II, Michael Preziosi, Journey Smith, Ashlee Miller, Yoel Kanchelov, Aaron Judlowe, Evans Griffin, Tonya Baines, Valerie Martin, J.A. Geoffroy",0
29,29,39461,1312,157,the heat,2013,Paul Feig,"Sandra Bullock, Michael McDonald, Melissa McCarthy, Demin Bichir",the hateful eight,2015,Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Demian Bichir, Tim Roth, Michael Madsen, Bruce Dern, Channing Tatum, James Parks, Dana Gourrier, Lee Horsley, Belinda Owino, Gene Jones, Bruce Del Castillo, Craig Stark, Keith Jefferson, Zoe Bell",0
382,382,581628,2469,2291,young & beautiful,2013,Franois Ozon,"Marine Vacth, Graldine Pailhas, Frdric Pierrot, Fantin Ravat",young & beautiful,2014,FranÂ§ois Ozon,"Marine Vacth, Geraldine Pailhas, FrÂ©dÂ©ric Pierrot, Fantin Ravat, Johan Leysen, Charlotte Rampling, Nathalie Richard, DjÂ©djÂ© Apali, Lucas Prisor, Laurent Delbecque, Jeanne Ruff, Serge Hefez, Carole Franck, Olivier Desautel, AkÂ©la Sari, Stefano Cassetti, Patrick Bonnel, Rachel Khan, Gurvan Cloatre, Iliana Zabeth, Charlotte-Victoire Legrain",1
348,348,523205,2499,2064,the hollars,2016,John Krasinski,"Sharlto Copley, Charlie Day, Richard Jenkins, Anna Kendrick",the accountant,2016,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal, Jeffrey Tambor, Cynthia Addai-Robinson, John Lithgow, Jean Smart, Andy Umberger, Alison Wright, Jason A. Davis, Robert C. Treveiler, Mary Kraft, Seth Lee (II), Jake Presley, Izzy Fenech, Ron Prather, Susan Williams, Gary Basaraba, Fernando Chien, Alex Collins, Tait Fletcher, Curtis Lyons, Buster Reeves, Ron Yuan, Sheila Maddox, Malachi Malik, Gregory Alan Williams, Kelly Collins Lintz, Jason MacDonald, Victor McCay, Michael Beasley, Viviana Chavez, Greg Sproles, Alex Huynh, Jade Halley Bartlett, Joe Hardy Jr., Roman Spink, Rick Moose, Nick Arapoglou, Angela Davis, Eric Goins, David Devries, Nicholas Martin, Samantha Janco, Joseph Levine, Christian Mendoza, Zachary James Rukavina, Robert T. McKnight ll, Angel Giuffria, Robert Kistenberg, Robert Hatch",0
452,452,678374,2686,2621,the exception,2016,David Leveaux,"Lily James, Jai Courtney, Christopher Plummer, Los van Wijk",the mummy,2017,Alex Kurtzman,"Tom Cruise, Russell Crowe, Annabelle Wallis, Sofia Boutella, Jake Johnson (XVI), Courtney B. Vance, Marwan Kenzari, Simon Atherton, Sean Cameron Michael, Rez Kempton, Stephen Thompson, James Arama, Matthew Wilkas, Sohm Kapila, Erol Ismail, Selva Rasalingham, Shanina Shaik, Javier Botet, Hadrian Howard, Dylan Smith, Parker Sawyers, Neil Maskell, Rhona Croker, Andrew Brooke, Timothy Allsop, Grace Chilton, Hannah Ankrah",0
217,217,339276,67,1337,darkest hour,2017,Joe Wright,"Gary Oldman, Lily James, Kristin Scott Thomas, Ben Mendelsohn",darkest hour,2017,Joe Wright,"Gary Oldman, Kristin Scott Thomas, Stephen Dillane, Ronald Pickup, Ben Mendelsohn, Lily James",1
27,27,37170,1260,140,the wolverine,2013,James Mangold,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima",the wolverine,2013,James Mangold,"Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada, Svetlana Khodchenkova, Brian Tee, Hal Yamanouchi, Will Yun Lee, Ken Yamamura, Famke Janssen, Saverio Di Biagio, Francisco PayÃ³ GonzÃ¡lez, Shinji Ikefuji, Joseph Coors, Jr., Nobuaki Kakuda, Yu Shao-Kang, Andrew G. Cesana, Conrad Coleby, Taris Tyler, Bela B. Felsenheimer, Necie Owens, Barbara Pindar Smith, Allan Popple, Geoff Burke, Yasuyo Shiba, Mani Bhattacharjee, Sylvain Arsenta, Steven Milligan, Tom Wilson, Sr., Gonzalo Calzada, Jason R. Goode, Johnny Shroyer, Kuni Hashimoto, Erich Chikashi-Linzbichler, Shingo Usami, Naoya Ogawa, Lilian Benson, Takashi Matsuyama, Masa Yamaguchi, Eric Laciste, Alexandre Iglesias, Garret Sato, Feroz Khan, Yoji Tatsuta, Yoshinori Fukushige, Hiroshi Kasuga (II), Yumiko Nakamura, David Conley (V), Keiko Matsumoto, Louis Okada",1
399,399,608275,1818,2374,the judge,2014,David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton",the perfect match,2016,Bille Woodruff,"Terrence Jenkins, Cassie Ventura, Paula Patton, Donald Faison, Kali Hawk, Joe Pantoliano, Lauren London, Brandy Norwood, Dascha Polanco, Robert Christopher Riley, French Montana, Robin Givens, Casper Smart, Draya Michele, Chantel Jeffries, Timothy DeLaGhetto, Layla Jama, Steven Daniel Brun, Bria Murphy, John Nania, Anzu Lawson, Jessica White, Kevin Michael Walsh, John Nolan, Pierre Abena, Candice Craig, Neville White, Eugena Washington, Janelle Froehlich, LaToya Tonodeo, Janelle Froelich, Jillian Easton, Kristi Ellingsworth, Jana Savage, Christine Bently, B R Lamar, Krystal Harris, Roy ""Sly"" Jones, Jr., Raynald LaRochelle",0
298,298,441019,990,1767,the founder,2016,John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",the brothers grimsby,2016,Louis Leterrier,"Sacha Baron Cohen, Mark Strong (II), Isla Fisher, Penelope Cruz, Rebel Wilson, Annabelle Wallis, Ian McShane, Gabourey Sidibe, Scott Adkins, David Harewood, Sam Hazeldine, Freddie Crowder, Jon-Jon Lockwood, Shaun Thomas, Claudia Adshead, Lex Shrapnel, David James, Rory Keenan, Tamsin Egerton, Johnny Vegas, Ricky Tomlinson, Margaret Jackman, John Thomson, Lewis Johnson, Gabriel Chay Palmer, Steve Scott, Jorge de Juan, Matt Baldwin, Yusuf Hofri, Rebecca Front, Bob Cryer, Peter Baynham, Kyle Rowe, Miles Evans, Amaan Hendricks, Zak Sutcliffe, Mika Behrman, Laura ThÂ­‚Â©rÂ­\se, Janie Booth, Paul Thornley, Jason Furnival, Joanna Bobin, Nathan Joel Jukes, Jamie Chambers, Ryan Pickard, Callum Joseph King-Chadwick, Jamie Ben Chambers, John Bradley, Callum Joseph King, Nick Boraine, Feyi Babalola, Barkhad Abdi, Clifford 'Zorro' Sidloy, Nhlanhla Mkhwanazi, Craig Macrae, Hennie Bosman, Robert Wilfort, Clive Tyldesley, Andy Townsend, Clayton Evertson, Affif Ben Badra, Stefano Pasianot, Jordi Castello, Michelene Deppe, Mihhail Sibul, Raheem Sterling, Patrick John Walton, Patrick Walton, Nick Sampson, Danny Green, Jamie Glassman, Alex Lowe, Miles Jupp, Mark Theodore, Alex Lanipekun, Sam Redford, Anthony Hines",0
156,156,225539,2869,862,the other side of the door,2016,Johannes Roberts,"Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky, Logan Creran",the other side of the door,2016,Johannes Roberts,"Sarah Wayne Callies, Jeremy Sisto, Sofia Rosinsky, Logan Creran, Suchitra Pillai, Javier Botet, Shoa Hussain, Mishti Bangera, Amarjeet Singh, Ashok Choudhary, Vijay Saini, Vijay Gupta, Rahil Gilani, Manoj, Anup Kumar Sharma, Manoj Prajapati, Avinaash Razdan, Vijay Jadhav, Binod Kumar Saha, R.N. Shukla, Tulasi Prajapati",1
